KID,LATITUDE,LONGITUDE,IP(DCA),B,D,Pressure,So,Sw,K,Porosity,Skin,Q,Shaliness
1001218045,39.0590974,-99.1912254,109,0.00044462,0.05364,972,0.708,0.243,22,0.0735,1.76,237,0.284
1001217689,39.0581661,-99.193554,100,0.000405503,0.059978,1036,0.676,0.276,31,0.0684,9.74,213,0.259
1001218046,39.0572845,-99.1912331,104,0.000437614,0.059848,1074,0.78,0.237,28,0.0793,3.53,193,0.146
1001218831,39.0150363,-99.272852,102,0.000401491,0.054717,1057,0.704,0.26,11,0.0754,5.1,1746,0.238
1001218828,39.0150441,-99.2774982,107,0.00042097,0.059613,1042,0.733,0.216,41,0.0733,3.09,917,0.269
1002909845,39.031758,-99.2030644,97,0.00039769,0.475,932,0.711,0.283,27,0.0731,8.53,57,0.222
1001218634,39.1011788,-99.147606,81,0.00816645,8.8992,1059,0.619,0.214,16,0.0844,5.59,2899,0.211
1001218378,39.101155,-99.1452801,79,0.00796534,7.9992,905,0.679,0.289,6,0.0824,9.25,2690.76,0.237
1001218375,39.1029915,-99.1475926,77,0.00802245,7.5992,1046,0.632,0.256,21,0.0792,3.17,2558,0.2
1001218635,39.1029439,-99.1429409,368,0.02485501,22.4638,1012,0.624,0.203,20,0.0791,7.07,2468,0.282
1001216396,39.0975535,-99.1476328,428,0.024905979,24.090087,1017,0.605,0.282,3,0.0651,3.48,2448,0.11
1001217970,39.0730482,-99.2788325,527,0.024904858,22.887063,1026,0.601,0.237,8,0.0698,9.28,3000,0.189
1001217971,39.0712565,-99.2811995,250,0.024948993,22.693418,989,0.642,0.229,36,0.0721,1.32,2490,0.199
1001217625,39.0696686,-99.2790092,389,0.024859804,24.186155,1089,0.741,0.298,47,0.0683,7.42,76,0.198
1001217999,39.1021254,-99.2783346,610,0.00839903,11.1665,1087,0.757,0.273,35,0.0842,9.11,58351,0.266
1001218000,39.1004113,-99.2807613,500,0.0089356,15.2465,1051,0.655,0.29,46,0.0826,3.97,29112,0.128
1001218001,39.102194,-99.2829046,550,0.00534681,4.8261,978,0.641,0.238,42,0.07,1.74,3000,0.271
1001218055,39.1003894,-99.2841695,800,0.00460507,5.2317,982,0.683,0.262,48,0.0617,5.22,34,0.215
1001218352,39.0985238,-99.2702336,783,0.004727066,5.402529,930,0.733,0.272,34,0.0792,3.12,3000,0.241
1001218354,39.0967135,-99.2749079,785,0.004932345,5.773027,1009,0.733,0.228,40,0.0601,1.63,3000,0.203
1001218704,39.0985262,-99.274887,790,0.004912094,5.283692,989,0.738,0.266,27,0.0841,6.48,3000,0.282
1001219144,39.1003275,-99.2703232,733,0.004907281,5.721863,973,0.693,0.276,15,0.0854,2.62,3000,0.258
1001219150,38.8410257,-99.2783478,729,0.004626675,5.72744,985,0.748,0.297,46,0.0737,8.19,3000,0.202
1002910889,39.1003392,-99.2749748,725,0.004691479,5.536058,998,0.727,0.241,46,0.0628,6.89,3000,0.267
1002910912,39.0967022,-99.270437,800,0.004683112,5.724027,1031,0.746,0.216,36,0.0681,4.74,3000,0.136
1001218703,39.1021401,-99.2702663,740,0.004814663,5.690057,1027,0.601,0.207,34,0.0778,7.04,2500,0.238
1006046898,39.1002503,-99.2723908,778,0.004971197,5.336522,1081,0.725,0.242,3,0.0832,4.87,129,0.171
1029101902,39.1003216,-99.2748798,747,0.004610083,5.558504,965,0.716,0.266,33,0.0748,7.43,48,0.185
1006046896,39.0994268,-99.2725753,733,0.004819366,5.35893,903,0.726,0.26,38,0.0775,8.49,37,0.143
1006045449,39.0976144,-99.2727344,760,0.004787227,5.876467,1014,0.753,0.294,35,0.0632,5.79,34,0.104
1029101904,39.1003275,-99.2703232,765,0.004828841,5.626135,1007,0.79,0.207,40,0.0836,7.26,18,0.183
1002911450,39.1021317,-99.2744924,724,0.004858258,5.850515,939,0.646,0.284,27,0.0753,6.88,12,0.216
1001218616,39.1293967,-99.2698444,737,0.004960816,5.341454,948,0.692,0.2,40,0.0645,7.35,87886,0.195
1001217698,39.1311951,-99.2733045,712,0.004680062,5.949117,1086,0.779,0.274,30,0.0773,2.12,6087,0.251
1001218627,39.1319988,-99.2687047,777,0.004990728,5.265414,903,0.736,0.242,17,0.0878,7.38,2500,0.112
1001217699,39.1302983,-99.2709927,788,0.004692657,5.748384,1072,0.797,0.253,17,0.0781,9.05,288,0.115
1001217700,39.1311855,-99.2756316,798,0.00466908,5.864709,926,0.701,0.207,21,0.088,3.49,54,0.115
1001218052,39.1293822,-99.2733351,767,0.00494354,5.781952,957,0.717,0.246,16,0.0811,5.08,52.44,0.243
1001217840,39.1293919,-99.271008,735,0.004682675,5.663938,931,0.629,0.287,19,0.069,7.56,30,0.24
1037789559,39.1321355,-99.2710555,786,0.004860894,5.743195,1009,0.626,0.242,15,0.0719,2.28,20,0.169
1038337677,39.13036,-99.2698564,770,0.004996528,5.285598,978,0.667,0.23,34,0.0692,5.79,15,0.177
1001218532,39.0717495,-99.1887863,711,0.004759869,5.384113,1035,0.757,0.245,26,0.0684,9.64,3392,0.286
1001218530,39.0698962,-99.1957785,722,0.004976582,5.831695,1059,0.775,0.252,4,0.0793,7.93,3370,0.157
1001218525,39.0698503,-99.2004291,772,0.004918893,5.293394,1042,0.667,0.218,30,0.0697,3.07,3168,0.274
1001218523,39.0716862,-99.1980865,755,0.004758184,5.887064,1099,0.625,0.232,44,0.064,1.3,3072,0.179
1005732728,39.0734992,-99.1980691,765,0.004979282,5.364503,1039,0.797,0.222,10,0.0615,3.89,3062,0.114
1001218513,39.0734533,-99.2027197,979,0.0024682,3.0513,1092,0.624,0.283,13,0.0717,1.11,3055,0.225
1001218517,39.0698274,-99.2027544,1694,0.002550537,3.178876,921,0.763,0.207,33,0.0763,9.66,3034,0.167
1001218518,39.0735855,-99.1957186,1758,0.002747252,3.893218,986,0.733,0.272,50,0.0738,5.39,2992,0.245
1001218524,39.0717091,-99.1957612,1756,0.00293506,4.020477,965,0.729,0.286,8,0.0734,2.25,2971,0.188
1001218515,39.0716403,-99.2027371,1610,0.003265046,4.04662,1071,0.752,0.207,16,0.0876,6.39,2943,0.138
1001218514,39.073509,-99.2001405,1028,0.002948364,4.053773,1019,0.715,0.24,18,0.0801,5.42,2938,0.294
1001218527,39.0698732,-99.1981038,1348,0.002921963,4.056925,1069,0.676,0.252,32,0.0837,8,2935,0.218
1001218520,39.0735451,-99.1934185,1048,0.003330776,4.060293,931,0.722,0.247,47,0.0661,8.73,2453,0.134
1001218521,39.0717682,-99.2003023,1133,0.002890813,4.017487,937,0.789,0.295,41,0.0854,2.58,2420,0.262
1001218519,39.0680144,-99.2027717,1013,0.003073273,4.058315,1018,0.668,0.277,24,0.0862,7.25,2323,0.13
1001218538,39.064549,-99.1865293,1463,0.00321307,4.01922,1033,0.617,0.255,4,0.0623,5.2,168,0.167
1026517983,39.0680576,-99.1956023,998,0.003328441,4.049307,940,0.724,0.225,35,0.0675,1.93,137,0.27
